"variety","country","nn"
"Aglianico","Italy",344
"Aglianico","US",15
"Albarino","Spain",340
"Albarino","US",131
"Albarino","Uruguay",6
"Barbera","Argentina",1
"Barbera","Israel",3
"Barbera","Italy",479
"Barbera","US",239
"Bordeaux Red","Argentina",89
"Bordeaux Red","Australia",29
"Bordeaux Red","Austria",2
"Bordeaux Red","Brazil",2
"Bordeaux Red","Bulgaria",2
"Bordeaux Red","Canada",15
"Bordeaux Red","Chile",37
"Bordeaux Red","Croatia",1
"Bordeaux Red","France",4725
"Bordeaux Red","Hungary",6
"Bordeaux Red","Israel",41
"Bordeaux Red","Italy",2
"Bordeaux Red","Mexico",1
"Bordeaux Red","Moldova",2
"Bordeaux Red","New Zealand",27
"Bordeaux Red","Portugal",5
"Bordeaux Red","Slovenia",4
"Bordeaux Red","South Africa",89
"Bordeaux Red","Spain",9
"Bordeaux Red","Turkey",3
"Bordeaux Red","US",1824
"Bordeaux White","Argentina",1
"Bordeaux White","France",1021
"Bordeaux White","South Africa",2
"Bordeaux White","US",42
"Cabernet Franc","Argentina",64
"Cabernet Franc","Austria",1
"Cabernet Franc","Brazil",1
"Cabernet Franc","Bulgaria",2
"Cabernet Franc","Canada",24
"Cabernet Franc","Chile",38
"Cabernet Franc","France",173
"Cabernet Franc","Hungary",4
"Cabernet Franc","Israel",6
"Cabernet Franc","Italy",28
"Cabernet Franc","Mexico",1
"Cabernet Franc","Slovenia",1
"Cabernet Franc","South Africa",3
"Cabernet Franc","Spain",1
"Cabernet Franc","US",1003
"Cabernet Franc","Uruguay",2
"Cabernet Franc",NA,1
"Cabernet Sauvignon","Argentina",540
"Cabernet Sauvignon","Australia",266
"Cabernet Sauvignon","Austria",5
"Cabernet Sauvignon","Brazil",4
"Cabernet Sauvignon","Bulgaria",20
"Cabernet Sauvignon","Canada",7
"Cabernet Sauvignon","Chile",771
"Cabernet Sauvignon","France",57
"Cabernet Sauvignon","Greece",6
"Cabernet Sauvignon","Israel",105
"Cabernet Sauvignon","Italy",131
"Cabernet Sauvignon","Mexico",8
"Cabernet Sauvignon","Moldova",8
"Cabernet Sauvignon","New Zealand",2
"Cabernet Sauvignon","Portugal",16
"Cabernet Sauvignon","Romania",16
"Cabernet Sauvignon","Slovenia",3
"Cabernet Sauvignon","South Africa",132
"Cabernet Sauvignon","Spain",53
"Cabernet Sauvignon","Turkey",2
"Cabernet Sauvignon","US",7315
"Cabernet Sauvignon","Ukraine",1
"Cabernet Sauvignon","Uruguay",2
"Cabernet Sauvignon",NA,2
"Carmenere","Canada",1
"Carmenere","Chile",525
"Carmenere","Italy",1
"Carmenere","US",48
"Champagne","Argentina",8
"Champagne","Australia",8
"Champagne","Austria",1
"Champagne","Brazil",5
"Champagne","Chile",3
"Champagne","France",1243
"Champagne","Italy",10
"Champagne","Moldova",1
"Champagne","New Zealand",1
"Champagne","South Africa",5
"Champagne","Spain",13
"Champagne","US",98
"Chardonnay","Argentina",295
"Chardonnay","Australia",400
"Chardonnay","Austria",63
"Chardonnay","Brazil",5
"Chardonnay","Bulgaria",16
"Chardonnay","Canada",26
"Chardonnay","Chile",516
"Chardonnay","England",18
"Chardonnay","France",2808
"Chardonnay","Germany",5
"Chardonnay","Greece",15
"Chardonnay","Hungary",1
"Chardonnay","Israel",41
"Chardonnay","Italy",334
"Chardonnay","Lebanon",1
"Chardonnay","Macedonia",1
"Chardonnay","Mexico",9
"Chardonnay","Moldova",2
"Chardonnay","Morocco",3
"Chardonnay","New Zealand",109
"Chardonnay","Peru",1
"Chardonnay","Portugal",17
"Chardonnay","Romania",12
"Chardonnay","Slovenia",4
"Chardonnay","South Africa",168
"Chardonnay","Spain",74
"Chardonnay","Turkey",1
"Chardonnay","US",6801
"Chardonnay","Ukraine",1
"Chardonnay","Uruguay",3
"Chardonnay",NA,3
"Chenin Blanc","Argentina",2
"Chenin Blanc","Australia",1
"Chenin Blanc","Canada",1
"Chenin Blanc","France",270
"Chenin Blanc","India",3
"Chenin Blanc","Israel",2
"Chenin Blanc","Mexico",3
"Chenin Blanc","New Zealand",3
"Chenin Blanc","Portugal",3
"Chenin Blanc","South Africa",181
"Chenin Blanc","US",122
"Corvina","Italy",641
"Gamay","France",1020
"Gamay","US",5
"Gewurztraminer","Argentina",1
"Gewurztraminer","Austria",3
"Gewurztraminer","Canada",10
"Gewurztraminer","Chile",20
"Gewurztraminer","France",476
"Gewurztraminer","Germany",37
"Gewurztraminer","Israel",5
"Gewurztraminer","Italy",46
"Gewurztraminer","New Zealand",3
"Gewurztraminer","Portugal",2
"Gewurztraminer","Romania",1
"Gewurztraminer","South Africa",1
"Gewurztraminer","US",406
"Gewurztraminer",NA,1
"Glera","Italy",709
"Grenache","Australia",76
"Grenache","Croatia",1
"Grenache","Egypt",1
"Grenache","France",27
"Grenache","Italy",1
"Grenache","Mexico",1
"Grenache","Spain",336
"Grenache","US",534
"Gruner Veltliner","Austria",1234
"Gruner Veltliner","Hungary",1
"Gruner Veltliner","Italy",5
"Gruner Veltliner","New Zealand",5
"Gruner Veltliner","US",100
"Malbec","Argentina",1510
"Malbec","Australia",5
"Malbec","Bulgaria",1
"Malbec","Canada",1
"Malbec","Chile",142
"Malbec","France",449
"Malbec","Italy",2
"Malbec","New Zealand",1
"Malbec","Peru",2
"Malbec","US",537
"Malbec","Uruguay",2
"Merlot","Argentina",59
"Merlot","Australia",19
"Merlot","Austria",3
"Merlot","Brazil",7
"Merlot","Bulgaria",13
"Merlot","Canada",11
"Merlot","Chile",258
"Merlot","France",115
"Merlot","Greece",6
"Merlot","Hungary",1
"Merlot","Israel",39
"Merlot","Italy",150
"Merlot","Mexico",1
"Merlot","Moldova",2
"Merlot","New Zealand",10
"Merlot","Portugal",14
"Merlot","Romania",10
"Merlot","Slovenia",1
"Merlot","South Africa",51
"Merlot","Spain",15
"Merlot","Switzerland",1
"Merlot","Turkey",1
"Merlot","US",2311
"Merlot","Ukraine",2
"Merlot","Uruguay",1
"Merlot",NA,1
"Moscato","Argentina",11
"Moscato","Australia",13
"Moscato","Austria",2
"Moscato","Brazil",4
"Moscato","Canada",1
"Moscato","Chile",4
"Moscato","France",2
"Moscato","Israel",3
"Moscato","Italy",190
"Moscato","Moldova",1
"Moscato","Romania",5
"Moscato","Slovenia",2
"Moscato","South Africa",3
"Moscato","Spain",11
"Moscato","US",106
