country,Albarino,Bordeaux White,Champagne,Chardonnay,Chenin Blanc,Gewurztraminer,Glera,Gruner Veltliner,Moscato,Pinot Blanc,Pinot Gris,Portuguese White,Rhone White,Riesling,Sauvignon Blanc,Sparkling Blend,Viognier,Aglianico,Barbera,Bordeaux Red,Cabernet Franc,Cabernet Sauvignon,Carmenere,Corvina,Gamay,Grenache,Malbec,Merlot,Nebbiolo,Nero d'Avola,Petite Syrah,Pinot Noir,Port,Portuguese Red,Rhone Red,Sangiovese,Sangiovese Grosso,Syrah,Tempranillo,Zinfandel
ARG,0,0,8,295,0,0,0,0,11,0,36,0,0,2,78,29,21,0,0,89,64,540,0,0,0,0,1510,59,4,0,6,105,0,0,0,0,0,65,20,0
AUS,0,0,8,400,0,0,0,0,13,0,42,0,0,151,52,33,33,0,0,29,0,266,0,0,0,76,5,19,0,0,0,132,0,0,12,0,0,636,3,3
AUT,0,0,1,63,0,3,0,1234,2,32,15,0,0,581,128,53,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,99,0,0,0,0,0,2,2,0
CHL,0,0,3,516,0,0,0,0,4,0,5,0,0,24,683,14,0,0,0,0,0,771,525,0,0,0,142,0,0,0,0,363,0,0,0,0,0,296,0,0
FRA,0,1021,1243,2808,270,476,0,0,2,192,458,0,197,718,933,383,66,0,0,4725,173,57,0,0,1020,27,449,115,0,0,0,1966,0,0,741,0,0,166,0,0
DEU,0,0,0,5,0,37,0,0,0,22,14,0,0,1790,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
ITA,0,0,0,334,0,0,709,0,190,154,605,0,0,24,49,348,13,344,479,2,0,131,0,619,0,0,0,150,2736,361,0,186,0,0,0,2265,750,152,0,0
PRT,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,25,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,2466,0,0,0,52,0,0
NZL,0,0,0,109,0,0,0,0,0,0,65,0,0,57,547,10,0,0,0,27,0,2,0,0,0,0,0,10,0,0,0,509,0,0,0,0,0,45,0,0
ZAF,0,0,5,168,181,0,0,0,3,0,0,0,0,8,179,12,20,0,0,89,0,132,0,0,0,0,0,51,0,0,0,30,0,0,0,0,0,145,0,0
ESP,340,0,13,74,0,0,0,0,11,0,0,0,0,1,33,497,0,0,0,0,0,53,0,0,0,336,0,15,0,0,0,11,0,0,0,0,0,37,1429,0
USA,131,42,98,6801,122,406,0,100,106,196,1229,0,217,1762,2163,678,790,15,239,1824,1003,7315,48,0,5,534,537,2311,58,4,747,9886,60,0,693,433,1,3291,345,2711
