variety,points,price,n,colour,r,theta,apple,balanced,berry,blackberry,bright,cherry,chocolate,crisp,dark,delicious,dry,earthy,elegant,floral,fresh,fruity,herb,juicy,leather,licorice,light,lively,mineral,oak,pepper,plum,raspberry,refreshing,rich,ripe,savory,smooth,soft,solid,spice,sweet,tannic,tart,tobacco,vanilla
Albarino,87.7442348,21.29746835,477,white,310,306,25.40322581,1.612903226,0.201612903,0,3.125,0,0,6.350806452,0,0.907258065,5.342741935,0.100806452,1.915322581,2.419354839,12.09677419,1.108870968,0.60483871,3.72983871,0,0,4.133064516,2.116935484,3.225806452,1.814516129,1.814516129,0.302419355,0,1.512096774,1.108870968,3.72983871,0.60483871,2.419354839,2.217741935,2.116935484,0.504032258,2.318548387,0,2.52016129,0.100806452,2.52016129
Bordeaux White,88.69043152,34.72086331,1066,white,310,36,4.01384083,3.667820069,0.069204152,0,4.844290657,0,0,11.21107266,0.034602076,3.183391003,2.456747405,0.173010381,0.44982699,0.657439446,7.612456747,7.197231834,0.44982699,0.968858131,0,0,4.878892734,3.702422145,2.110726644,0.553633218,0.207612457,1.07266436,0,1.903114187,8.858131488,13.42560554,0.069204152,2.525951557,3.84083045,0.103806228,6.470588235,2.560553633,0.069204152,0.173010381,0,0.484429066
Champagne,89.66332378,70.74483898,1396,white,220,300,7.217877095,5.944134078,0.938547486,0.022346369,3.195530726,0.335195531,0.089385475,11.77653631,0.156424581,2.324022346,7.217877095,0.446927374,1.74301676,0.648044693,6.100558659,5.631284916,0.268156425,0.134078212,0.022346369,0.111731844,3.575418994,2.793296089,3.329608939,0.156424581,0.089385475,0.491620112,1.273743017,0.938547486,7.642458101,11.53072626,0.044692737,1.117318436,7.709497207,0.17877095,1.296089385,1.541899441,0.581005587,0.51396648,0,0.87150838
Chardonnay,88.34008338,34.52202166,11753,white,120,255,12.55466595,3.142030546,0.040368701,0,3.17567113,0.013456234,0.016820292,7.030882056,0.269124672,1.78631501,2.637421786,0.289309022,1.332167126,1.126959564,4.864428446,2.734979479,0.383502658,1.133687681,0,0.047096818,3.569265962,1.32543901,2.650878019,9.170423199,0.235484088,0.309493373,0.006728117,1.389356119,7.003969589,9.358810469,0.743456906,1.860324295,3.646639306,0.56852587,3.781201642,3.771109466,0.08410146,1.470093521,0.037004642,6.438807778
Chenin Blanc,88.57529611,23.23076923,591,white,310,252,12.74564851,3.81807973,0.056148231,0,4.491858506,0,0,6.906232454,0.056148231,2.582818641,6.34475014,0.224592925,0.786075239,1.852891634,6.625491297,4.604154969,0.449185851,1.122964627,0,0,3.986524424,2.021336328,1.965188097,1.291409321,0.168444694,1.403705783,0,1.909039865,5.727119596,9.152161707,0.224592925,1.796743403,3.256597417,0.336889388,5.05334082,6.513194834,0.056148231,1.066816395,0.056148231,1.347557552
Gewurztraminer,88.59090909,26.2834728,1012,white,310,72,2.981736862,4.658963846,0.074543422,0,2.385389489,0.074543422,0.074543422,2.869921729,0.335445397,1.192694745,9.578829668,1.341781588,1.416325009,5.180767797,6.112560567,2.90719344,0.223630265,2.832650019,0.037271711,0,2.310846068,1.043607902,1.677226985,0.372717108,1.826313828,0.745434215,0,1.751770406,9.839731644,8.870667164,0.559075662,1.192694745,3.87625792,0.149086843,10.36153559,8.758852031,0,0.857249348,0,1.528140142
Glera,87.24400564,20.11754967,709,white,310,180,17.98882682,0.893854749,0,0,11.7877095,0,0,9.329608939,0,0.782122905,5.30726257,0.055865922,2.51396648,2.234636872,9.217877095,0.61452514,1.56424581,1.061452514,0,0,2.290502793,3.463687151,3.74301676,0,1.061452514,0,0,4.134078212,2.625698324,5.139664804,0.782122905,1.452513966,6.536312849,0.055865922,0.279329609,4.189944134,0,0.726256983,0,0.167597765
Gruner Veltliner,89.98066914,27.78078603,1345,white,220,30,5.226850624,1.485805253,0.053064473,0,2.46749801,0,0,5.09418944,0.212257893,1.857256567,3.767577607,0.95516052,0.47758026,0.928628283,12.01910321,3.157336163,0.610241443,2.62669143,0,0,6.235075617,2.520562483,1.75112762,0.424515787,8.331122314,2.06951446,0,5.25338286,4.7758026,11.19660387,4.112496683,1.459273017,2.494030247,0.053064473,6.420801274,0.504112497,0,0.71637039,0,0.742902627
Moscato,86.27932961,16.95151515,358,white,310,270,2.631578947,2.059496568,0.343249428,0,5.263157895,0.686498856,0.457665904,3.546910755,0.686498856,1.830663616,1.945080092,0,0.686498856,5.491990847,8.23798627,2.288329519,2.402745995,1.487414188,0,0,5.377574371,1.487414188,0.343249428,0,0.57208238,0.228832952,1.14416476,1.830663616,5.148741419,3.432494279,0.686498856,1.945080092,7.551487414,0.57208238,1.258581236,23.22654462,0.114416476,0.343249428,0,4.691075515
Pinot Blanc,87.93288591,22.1,596,white,310,234,13.75935521,2.014968336,0.057570524,0,4.317789292,0.057570524,0.057570524,7.484168106,0,1.957397812,3.569372481,1.093839954,1.957397812,1.151410478,9.556706966,3.857225101,1.093839954,1.784686241,0,0,4.835924007,1.842256765,4.778353483,2.36039148,0.633275763,1.03626943,0,2.533103051,4.778353483,7.25388601,1.093839954,2.187679908,4.663212435,0.345423143,3.223949338,1.03626943,0,1.669545193,0,1.957397812
