"variety","points","price","n","almond","apple","balanced","berry","bitter","blackberry","bright","cherry","chocolate","coffee","complex","crisp","currant","dark","delicious","dry","earthy","easy","elegant","floral","fresh","fruits","fullbodied","herb","juicy","leather","licorice","light","lively","mineral","pepper","plum","raspberry","refreshing","rich","ripe","rose","savory","smooth","soft","solid","spice","strawberry","sweet","tangy","tannic","tart","tobacco","vanilla","wild"
"Albarino",87.7442348008386,21.2974683544304,477,1.05170902716915,22.0858895705521,1.4022787028922,0.175284837861525,2.89219982471516,0,2.71691498685364,0,0,0,1.4022787028922,5.52147239263804,0,0,0.788781770376862,4.64504820333041,0.0876424189307625,1.75284837861525,1.66520595968449,2.1034180543383,10.5170902716915,4.9079754601227,0.35056967572305,0.525854513584575,3.24276950043821,0,0,3.59333917616126,1.84049079754601,2.8045574057844,1.57756354075372,0.262927256792287,0,1.31463628396144,0.964066608238387,3.24276950043821,0.175284837861525,0.525854513584575,2.1034180543383,1.92813321647677,1.84049079754601,0.438212094653812,0,2.01577563540754,2.71691498685364,0,2.19106047326906,0.0876424189307625,2.19106047326906,0.35056967572305
"Barbera",87.7825484764543,26.1051779935275,722,0.362976406533575,0.211736237144586,0.816696914700545,5.74712643678161,0.635208711433757,5.14216575922565,4.77918935269208,10.2843315184513,1.66364186327889,2.20810647307925,0.453720508166969,1.33091349062311,0.786448880822747,2.69207501512402,0.725952813067151,1.14942528735632,1.11917725347852,1.02843315184513,0.393224440411373,0.332728372655777,3.90199637023593,0.211736237144586,1.90562613430127,0.665456745311555,2.63157894736842,0.846944948578342,2.75257108287961,1.39140955837871,0.87719298245614,0.544464609800363,3.26678765880218,3.96249243799153,3.59951603145796,0.332728372655777,1.96612220205687,4.20447670901391,0.604960677555959,1.4216575922565,2.35934664246824,2.23835450695705,0.332728372655777,6.68481548699335,0.544464609800363,1.87537810042347,0.272232304900181,0.967937084089534,1.78463399879008,2.08711433756806,2.48033877797943,1.4216575922565
"Bordeaux-style Red",89.106435285611,47.210861423221,6915,0.00422190323397788,0.0126657097019336,2.49514481128093,3.626614877987,0.941484421177067,4.28523178248755,1.46077851895635,3.35219116777843,2.40226294013341,1.09769484083425,1.05969771172845,1.05547580849447,3.60972726505108,4.61031833150384,1.39744997044668,4.72008781558727,0.346196065186186,0.346196065186186,0.962593937346956,0.211095161698894,3.15798361901545,8.17782656421515,0.709279743308283,1.14835767964198,5.16760955838892,0.53618171071519,1.01747867938867,1.76053364856877,0.434856033099721,0.4770750654395,0.903487292071266,2.61758000506628,0.726167356244195,0.0759942582116018,6.13020349573588,9.48661656674829,0.164654226125137,0.498184581609389,1.92096597145993,3.31419403867263,2.32626868192181,3.83348813645191,0.253314194038673,2.1573925525627,0.105547580849447,2.29249345604999,0.578400743054969,0.852824453263531,1.0681415181964,0.109769484083425
"Bordeaux-style White",88.6904315196998,34.7208633093525,1066,0.28717294192725,3.70134014039566,3.38225909380983,0.0638162093171666,0.989151244416082,0,4.46713465220166,0,0,0,0.925335035098915,10.338225909381,0.510529674537332,0.0319081046585833,2.93554562858966,2.26547543075941,0.159540523292916,0.350989151244416,0.414805360561583,0.606253988513082,7.01978302488832,7.91320995532865,0.989151244416082,0.414805360561583,0.893426930440332,0,0,4.49904275686024,3.41416719846841,1.94639438417358,0.1914486279515,0.989151244416082,0,1.75494575622208,8.16847479259732,12.3803446075303,0,0.0638162093171666,2.32929164007658,3.54179961710274,0.0957243139757498,5.96681557115507,0,2.36119974473516,2.93554562858966,0.0638162093171666,0.159540523292916,0,0.446713465220166,0.0319081046585833
"Cabernet Franc",88.1507760532151,34.8367816091954,1353,0.0753012048192771,0.150602409638554,1.69427710843373,3.29442771084337,0.50828313253012,2.88027108433735,1.76957831325301,10.8998493975904,2.6355421686747,1.48719879518072,0.960090361445783,1.20481927710843,2.25903614457831,2.97439759036145,0.677710843373494,2.48493975903614,1.20481927710843,0.489457831325301,1.31777108433735,0.583584337349398,2.6355421686747,2.44728915662651,1.60015060240964,2.89909638554217,2.0519578313253,0.941265060240964,1.05421686746988,2.56024096385542,0.52710843373494,0.50828313253012,3.08734939759036,3.78388554216867,2.35316265060241,0.320030120481928,3.25677710843373,5.2710843373494,0.715361445783133,1.90135542168675,1.20481927710843,3.46385542168675,0.583584337349398,4.57454819277108,0.941265060240964,2.37198795180723,0.225903614457831,2.42846385542169,2.18373493975904,1.67545180722892,2.33433734939759,0.545933734939759
"Cabernet Sauvignon",88.6075802364865,47.9400170466652,9472,0.0442008486562942,0.0412541254125413,1.37611975483263,3.68340405469118,0.318246110325318,7.07508250825083,0.869283356907119,8.51013672795851,4.39061763319189,1.49104196133899,1.46452145214521,0.562824139556813,4.12835926449788,3.78359264497878,0.925271098538425,4.0959453088166,1.28182461103253,0.719000471475719,1.16690240452617,0.347713342762848,1.41737388024517,1.12270155586987,1.68552569542669,2.41925978312117,1.57649693540783,1.35549269212636,1.60891089108911,1.17574257425743,0.433168316831683,0.309405940594059,2.10690711928336,4.1460396039604,1.63543140028289,0.0589344648750589,3.98691654879774,4.41713814238567,0.170909948137671,1.11386138613861,1.73856671381424,3.90440829797265,0.875176803394625,3.09700612918435,0.371287128712871,3.36221122112211,0.262258368694012,3.21487505893447,1.09323432343234,2.1540546911834,2.56659594530882,0.344766619519095
"Carmenere",86.5895652173913,21.5238095238095,575,0,0,1.15248226950355,13.741134751773,0.664893617021277,6.47163120567376,0.443262411347518,4.29964539007092,3.45744680851064,2.70390070921986,0.443262411347518,0.709219858156028,0.664893617021277,4.12234042553191,0,1.64007092198582,2.74822695035461,0.398936170212766,0.177304964539007,0.48758865248227,2.4822695035461,4.47695035460993,0.443262411347518,2.92553191489362,1.01950354609929,1.3741134751773,1.3741134751773,0.620567375886525,1.2854609929078,0.0886524822695035,3.10283687943262,11.3475177304965,1.77304964539007,0,0.664893617021277,2.74822695035461,0,0.842198581560284,0.842198581560284,1.46276595744681,2.12765957446809,5.67375886524823,0.177304964539007,1.81737588652482,0.354609929078014,1.64007092198582,0.886524822695035,1.32978723404255,1.90602836879433,0.886524822695035
"Champagne Blend",89.663323782235,70.7448389760528,1396,0.672601384767557,6.38971315529179,5.26211671612265,0.830860534124629,0.435212660731949,0.019782393669634,2.82888229475767,0.29673590504451,0.0791295746785361,0.019782393669634,1.44411473788328,10.4253214638971,0.692383778437191,0.138476755687438,2.05736894164194,6.38971315529179,0.395647873392681,0.474777448071217,1.54302670623145,0.573689416419387,5.40059347181009,5.87537091988131,1.16716122650841,0.237388724035608,0.118694362017804,0.019782393669634,0.0989119683481701,3.16518298714144,2.47279920870425,2.94757665677547,0.0791295746785361,0.435212660731949,1.12759643916914,0.830860534124629,6.76557863501484,10.2077151335312,2.65084075173096,0.039564787339268,0.989119683481701,6.82492581602374,0.158259149357072,1.14737883283877,1.42433234421365,1.36498516320475,1.62215628090999,0.514342235410485,0.454995054401583,0,0.771513353115727,0.118694362017804
"Chardonnay",88.3400833829661,34.5220216606498,11753,1.02051126604021,12.5694654945943,3.14573439762891,0.0404162877639689,0.538883836852918,0,3.17941463743222,0.013472095921323,0.0168401199016537,0.0235761678623152,1.56276312687346,7.03917011889125,0.0572564076656226,0.269441918426459,1.78842073355562,2.6405308005793,0.289650062308444,0.922838570610623,1.33373749621097,1.1282880334108,4.87016267555825,4.48957596578088,1.59307534269644,0.383954733757704,1.13502408137146,0,0.0471523357246304,3.57347344313091,1.32700144825031,2.65400289650062,0.235761678623152,0.309858206190428,0.00673604796066148,1.3909939038766,7.0122259270486,9.36984271328012,0.0875686234885992,0.744333299653094,1.8625172611229,3.65093799467852,0.569196052675895,3.78565895389175,0.00336802398033074,3.77555488195076,1.35394564009296,0.0842005995082685,1.47182647940453,0.0370482637836381,6.44639789835304,0.148193055134553
"Chenin Blanc",88.575296108291,23.2307692307692,591,2.4468085106383,12.0744680851064,3.61702127659574,0.0531914893617021,0.957446808510638,0,4.25531914893617,0,0,0,0.74468085106383,6.54255319148936,0.319148936170213,0.0531914893617021,2.4468085106383,6.01063829787234,0.212765957446809,1.06382978723404,0.74468085106383,1.75531914893617,6.27659574468085,3.40425531914894,0.531914893617021,0.425531914893617,1.06382978723404,0,0,3.77659574468085,1.91489361702128,1.86170212765957,0.159574468085106,1.32978723404255,0,1.80851063829787,5.42553191489362,8.67021276595745,0,0.212765957446809,1.70212765957447,3.08510638297872,0.319148936170213,4.78723404255319,0.106382978723404,6.17021276595745,1.17021276595745,0.0531914893617021,1.01063829787234,0.0531914893617021,1.27659574468085,0.106382978723404
