"variety","points","price","n","apple","balanced","berry","blackberry","bright","cherry","chocolate","crisp","dark","delicious","dry","earthy","elegant","floral","fresh","fruity","herb","juicy","leather","licorice","light","lively","mineral","oak","pepper","plum","raspberry","refreshing","rich","ripe","savory","smooth","soft","solid","spice","sweet","tannic","tart","tobacco","vanilla"
"Aglianico",89.2757660167131,38.8877551020408,359,0.536033353186421,0.476474091721263,4.64562239428231,6.01548540798094,1.66765932102442,10.3633114949375,2.56104824300179,0.476474091721263,5.41989279332936,1.25074449076831,0.238237045860631,0.893388921977368,2.02501488981537,0.178677784395473,1.07206670637284,0.119118522930316,1.60810005955926,1.60810005955926,5.00297796307326,5.24121500893389,0.536033353186421,0.0595592614651578,2.20369267421084,3.03752233472305,3.93091125670042,5.18165574746873,2.62060750446694,0.178677784395473,1.25074449076831,4.9434187016081,0.655151876116736,1.5485407980941,1.131625967838,0.893388921977368,9.82727814175104,1.5485407980941,1.07206670637284,0.297796307325789,4.64562239428231,3.03752233472305
"Albarino",87.7442348008386,21.2974683544304,477,25.4032258064516,1.61290322580645,0.201612903225806,0,3.125,0,0,6.3508064516129,0,0.907258064516129,5.34274193548387,0.100806451612903,1.91532258064516,2.41935483870968,12.0967741935484,1.10887096774194,0.604838709677419,3.72983870967742,0,0,4.13306451612903,2.11693548387097,3.2258064516129,1.81451612903226,1.81451612903226,0.30241935483871,0,1.51209677419355,1.10887096774194,3.72983870967742,0.604838709677419,2.41935483870968,2.21774193548387,2.11693548387097,0.504032258064516,2.31854838709677,0,2.52016129032258,0.100806451612903,2.52016129032258
"Barbera",87.7825484764543,26.1051779935275,722,0.225588140509185,0.870125684821141,6.12310667096358,5.47856912665163,5.09184660006445,10.9571382533033,1.77247824685788,1.4179825974863,2.8681920721882,0.773445053174347,1.22462133419272,1.19239445697712,0.418949403802772,0.354495649371576,4.15726716081212,0.966806316467934,0.708991298743152,2.80373831775701,0.902352562036739,2.9326458266194,1.4824363519175,0.934579439252336,0.580083789880761,3.60941024814695,3.48050273928456,4.22172091524331,3.83499838865614,0.354495649371576,2.09474701901386,4.4795359329681,1.5146632291331,2.51369642281663,2.38478891395424,0.354495649371576,7.12213986464712,1.99806638736706,1.03126007089913,1.90138575572027,2.22365452787625,2.64260393167902
"Bordeaux Red",89.106435285611,47.210861423221,6915,0.014237577713445,2.80480280954867,4.07669308528309,4.81704712638223,1.64206729628399,3.76821223482512,2.70039390631674,1.18646480945375,5.18247828769399,1.57087940771677,5.30587062787718,0.389160457500831,1.08205590622182,0.23729296189075,3.54990270988562,3.99126761900242,1.29087371268568,5.80893170708557,0.602724123202506,1.14375207631342,1.97902330216886,0.488823501494946,0.536282093873096,2.23529970101087,1.01561387689241,2.9424327274453,0.816287788904181,0.0854254662806701,6.89098761330739,10.6639457073703,0.560011390062171,2.15936595320583,3.72549950168478,2.61496844003607,4.30924018793603,2.42513407052347,2.57700156613355,0.650182715580656,0.958663566038631,1.2007023871672
"Bordeaux White",88.6904315196998,34.7208633093525,1066,4.01384083044983,3.66782006920415,0.069204152249135,0,4.84429065743945,0,0,11.2110726643599,0.0346020761245675,3.18339100346021,2.45674740484429,0.173010380622837,0.449826989619377,0.657439446366782,7.61245674740484,7.19723183391003,0.449826989619377,0.968858131487889,0,0,4.87889273356401,3.70242214532872,2.11072664359862,0.55363321799308,0.207612456747405,1.07266435986159,0,1.90311418685121,8.85813148788927,13.4256055363322,0.069204152249135,2.52595155709343,3.84083044982699,0.103806228373702,6.47058823529412,2.56055363321799,0.069204152249135,0.173010380622837,0,0.484429065743945
"Cabernet Franc",88.1507760532151,34.8367816091954,1353,0.160868690931028,1.80977277297406,3.51900261411623,3.0766137140559,1.89020711843957,11.6428715061331,2.81520209129298,1.28694952744822,3.17715664588779,0.723909109189624,2.65433340036195,1.28694952744822,1.40760104564649,0.623366177357732,2.81520209129298,2.03096722300422,3.09672230042228,2.19183591393525,1.00542931831892,1.12608083651719,2.73476774582747,0.563040418258596,0.542931831892218,4.24291172330585,3.29780816408606,4.04182585964207,2.51357329579731,0.341845968228434,3.47878544138347,5.63040418258596,2.03096722300422,1.28694952744822,3.69997989141363,0.623366177357732,4.88638648702996,2.53368188216368,2.59400764126282,2.3325960184999,1.78966418660768,2.49346470943093
"Cabernet Sauvignon",88.6075802364865,47.9400170466652,9472,0.0428501469147894,1.42935847208619,3.82590597453477,7.34880019588639,0.902913809990206,8.83937316356513,4.56047992164545,0.584598432908913,3.92997061704212,0.961067580803134,4.25440744368266,1.3314152791381,1.21204701273262,0.361165523996082,1.47220861900098,0.954946131243879,2.51285504407444,1.63748775710088,1.4079333986288,1.67115572967679,1.2212291870715,0.449926542605289,0.321376101860921,7.7681194906954,2.18841821743389,4.30643976493634,1.69870225269344,0.0612144955925563,4.14116062683643,4.5880264446621,1.15695396669931,1.80582761998041,4.05546033300686,0.909035259549461,3.21682174338883,3.49228697355534,3.33925073457395,1.13552889324192,2.23738981390793,2.66589128305583
"Carmenere",86.5895652173913,21.5238095238095,575,0,1.18721461187215,14.1552511415525,6.66666666666667,0.45662100456621,4.42922374429224,3.56164383561644,0.730593607305936,4.24657534246575,0,1.68949771689498,2.8310502283105,0.182648401826484,0.502283105022831,2.55707762557078,0.730593607305936,3.01369863013699,1.05022831050228,1.41552511415525,1.41552511415525,0.639269406392694,1.32420091324201,0.091324200913242,7.80821917808219,3.19634703196347,11.689497716895,1.82648401826484,0,0.684931506849315,2.8310502283105,0.867579908675799,0.867579908675799,1.50684931506849,2.19178082191781,5.84474885844749,1.87214611872146,1.68949771689498,0.91324200913242,1.36986301369863,1.9634703196347
"Champagne",89.663323782235,70.7448389760528,1396,7.21787709497207,5.94413407821229,0.93854748603352,0.0223463687150838,3.19553072625698,0.335195530726257,0.0893854748603352,11.7765363128492,0.156424581005587,2.32402234636872,7.21787709497207,0.446927374301676,1.74301675977654,0.64804469273743,6.10055865921788,5.63128491620112,0.268156424581006,0.134078212290503,0.0223463687150838,0.111731843575419,3.57541899441341,2.79329608938547,3.32960893854749,0.156424581005587,0.0893854748603352,0.491620111731844,1.27374301675978,0.93854748603352,7.64245810055866,11.5307262569832,0.0446927374301676,1.11731843575419,7.70949720670391,0.17877094972067,1.29608938547486,1.54189944134078,0.581005586592179,0.513966480446927,0,0.871508379888268
"Chardonnay",88.3400833829661,34.5220216606498,11753,12.5546659490009,3.14203054565027,0.0403687008006459,0,3.17567112965081,0.0134562336002153,0.0168202920002691,7.03088205611249,0.269124672004306,1.78631501042858,2.6374217856422,0.289309022404629,1.33216712642131,1.12695956401803,4.86442844647783,2.73497947924376,0.383502657606136,1.13368768081814,0,0.0470968176007536,3.56926596245711,1.32543900962121,2.65087801924241,9.17042319854673,0.235484088003768,0.309493372804952,0.00672811680010765,1.38935611922223,7.00396958891206,9.35881046894974,0.743456906411895,1.86032429522977,3.64663930565835,0.568525869609096,3.7812016416605,3.77110946646034,0.0841014600013456,1.47009352082352,0.0370046424005921,6.43880777770302
