,variety,points,price,n,colour,r,theta
1,Pinot Noir,89.40243812,47.37756836,13453,red,0,0
2,Chardonnay,88.34008338,34.52202166,11753,white,100,0
3,Cabernet Sauvignon,88.60758024,47.94001705,9472,red,100,45
4,Bordeaux-style Red,89.10643529,47.21086142,6915,red,100,90
5,Riesling,89.44440169,31.96325301,5198,white,100,135
6,Syrah,89.24829249,39.54054605,4978,red,100,180
7,Sauvignon Blanc,87.42963559,20.22851767,4967,white,100,225
8,Rose,86.84624018,18.50643777,3564,red,100,270
9,Merlot,87.20857511,29.54343566,3102,red,100,315
10,Nebbiolo,90.2510699,65.60960961,2804,red,200,0
11,Zinfandel,87.82866618,29.4922452,2714,red,200,45
12,Sangiovese,88.55079424,45.27934371,2707,red,200,90
13,Malbec,87.98303167,29.9267258,2652,red,200,135
14,Pinot Gris,87.5484643,20.33890514,2507,white,200,180
15,Portuguese Red,88.81062449,24.81921676,2466,red,200,225
16,Sparkling Blend,88.04505341,29.61124815,2153,white,200,270
17,Tempranillo,87.51436464,31.1509223,1810,red,200,315
18,Rhone-style Red,89.15363698,34.9252669,1471,red,300,0
19,Champagne Blend,89.66332378,70.74483898,1396,white,300,45
20,Cabernet Franc,88.15077605,34.83678161,1353,red,300,90
21,Gruner Veltliner,89.98066914,27.78078603,1345,white,300,135
22,Portuguese White,86.93097498,15.34482759,1159,white,300,180
23,Bordeaux-style White,88.69043152,34.72086331,1066,white,300,225
24,Gamay,88.03317073,20.69976077,1025,red,300,270
25,Gewurztraminer,88.59090909,26.2834728,1012,white,300,315
26,Viognier,87.77108434,26.0893401,996,white,400,0
27,Grenache,87.95087001,31.50359712,977,red,400,45
28,Petite Sirah,88.2038961,31.46614583,770,red,400,90
29,Sangiovese Grosso,90.52996005,65.63497453,751,red,400,135
30,Barbera,87.78254848,26.10517799,722,red,400,180
31,Glera,87.24400564,20.11754967,709,white,400,225
32,Port,89.73353293,64.67935872,668,red,400,270
33,Corvina,88.25585023,47.72868217,641,red,400,315
34,Pinot Blanc,87.93288591,22.1,596,white,500,0
35,Chenin Blanc,88.57529611,23.23076923,591,white,500,45
36,Tempranillo Blend,88.25510204,35.89536878,588,red,500,90
37,Carmenere,86.58956522,21.52380952,575,red,500,135
38,Albarillo,87.7442348,21.29746835,477,white,500,180
39,Rhone-style White,88.47294118,32.45215311,425,white,500,225
40,Nero d'Avola,87.44931507,23.33435583,365,red,500,315
